sgRNA_Manual,10x5x3xpool_Dep,10x5x3xWOR_Dep,10x5x3xWR_Dep,20x10x5xpool_Dep,20x10x5xWOR_Dep,20x10x5xWR_Dep,Spike-in_IC55_Depletion,Spike-in_IC55_Dep_Cond,1X_Depletion,Condition_1X_IC30_Dep
1593,41.80595906,-26.15020185,-27.30776522,52.97515515,-21.92606101,-41.41023359,27.3706733,5x3x2xpool_Dep,50.39808917,ON_05R
1458,58.18072688,-67.15768642,-76.37722371,58.96066884,-52.6108023,-111.1609325,38.07732387,5x3x2xpool_Dep,80,ON_0R
1990,55.70823039,6.760147648,14.26219089,64.49981956,3.322068199,-65.39006636,47.28642662,5x3x2xpool_Dep,74.75013151,ON_0R
1390,65.31219516,-58.32169737,-73.62186607,63.20414947,-43.50092671,-130.7841989,-32.85711869,5x3x2xWOR_Dep,74.36440678,ON_0R
1466,44.06870012,6.213742007,4.653982093,56.3561668,-1.282205218,-5.633328747,25.96540881,5x3x2xpool_Dep,95.83333333,ON_0R
1449,-265.401706,27.79409817,27.04633801,-196.6205642,16.51962909,84.63308887,-218.2244338,5x3x2xpool_Dep,97.36842105,ON_01R
1742,28.94319154,-31.1706622,-42.53512843,39.5068771,-29.72435967,67.46869525,20.89093428,5x3x2xpool_Dep,98.04131054,ON_01R
1849,42.84773972,32.4894774,45.60224414,59.88244368,20.58780788,-31.84751079,43.85427125,5x3x2xpool_Dep,66.59751037,ON_0R
1568,48.84639578,2.245693503,-3.128323787,58.81364893,-3.567725022,-12.94268217,34.64370448,5x3x2xpool_Dep,77.2002772,ON_01R
1944,69.67018887,-26.14173643,-13.52249723,73.33816487,-18.34580343,-108.0293041,-5.74777079,5x3x2xWOR_Dep,65.15353805,ON_01R
1572,49.12899658,-28.64742991,-22.79072303,56.17414246,-19.98813299,-114.44095,35.08481761,5x3x2xpool_Dep,49.53457447,ON_05R
