Stock ID,Novobiocin-0R-R1,Novobiocin-0R-R2,Novobiocin-01R-R1,Novobiocin-01R-R2
1285,0.000490559,0.000459,0.000361314,0.000567308
1236,0.001105987,0.002037316,0.001316214,0.001477987
571,0.000686783,0.000748895,0.000787148,0.000582237
807,0.000552994,0.000595895,0.000490354,0.000567308
1018,0.000383528,0.000297947,0.000219369,0.000403087
830,0.000561913,0.000547579,0.000606491,0.000507591
582,0.000499478,0.000475105,0.000529066,0.000612096
1206,0.000303255,0.000273789,0.000580683,0.000388158
#N/A,0.000695702,0.000652263,0.000619395,0.000388158
828,0.000829491,0.000402632,0.000696819,0.000432946
1077,0.000499478,0.000628105,0.000683915,0.000612096
1196,0.000633267,0.000515368,0.000516162,0.000403087
852,0.000633267,0.000595895,0.000554875,0.000701671
1239,0.000419205,0.000418737,0.000283889,0.000403087
1287,0.00059759,0.000708632,0.000645203,0.000940537
1071,0.000312174,0.000209368,0.000245177,0.000253796
788,0.000820571,0.000805263,0.000554875,0.000627025
939,0.000330012,0.000467053,0.000464546,0.000597166
1070,0.00047272,0.000660316,0.000567779,0.000761387
1243,0.000561913,0.000459,0.000529066,0.000388158
EDC3,0.000677863,0.000555632,0.000800052,0.000492662
1105,0.000499478,0.000708632,0.000774243,0.000701671
855,0.000347851,0.000386526,0.000425834,0.000477733
575,0.000508397,0.000354316,0.000554875,0.000462804
942,0.000775975,0.000636158,0.000941996,0.000880821
366,0.000330012,0.000475105,0.000387122,0.000462804
327,0.000392447,0.000402632,0.00041293,0.000477733
EDC30,0.000249739,0.000402632,0.000296793,0.000313512
EDC31,0.000570832,0.000450947,0.000425834,0.000432946
1163,0.000660025,0.000507316,0.000800052,0.000462804
EDC42,0.000517317,0.000289895,0.000387122,0.000432946
EDC22,0.000365689,0.000330158,0.000374218,0.000492662
699,0.000321093,0.000378474,0.000503258,0.000328442
1017,0.000249739,0.000297947,0.000283889,0.000253796
1292,0.000793814,0.00088579,0.00082586,0.0007166
EDC26,0.00048164,0.000539526,0.000490354,0.000597166
EDC1688,0.000544074,0.000515368,0.00054197,0.000477733
1284,0.000490559,0.000442895,0.000464546,0.000612096
540,0.000561913,0.000491211,0.000567779,0.000686741
951,0.000410286,0.000459,0.000696819,0.000522521
948,0.000579752,0.000612,0.000658107,0.000641954
545,0.000579752,0.000603947,0.000683915,0.000552379
1258,0.000454882,0.000386526,0.00034841,0.000522521
EDC41,0.000642186,0.000684474,0.000425834,0.000612096
1286,0.000294335,0.000507316,0.000619395,0.000388158
EDC39,0.000535155,0.00057979,0.000645203,0.000582237
EDC10,0.000374609,0.000507316,0.000309697,0.000447875
790,0.000561913,0.000740842,0.000683915,0.000656883
1208,0.000508397,0.000523421,0.000438738,0.000447875
928,0.000820571,0.001610526,0.001793664,0.001433199
839,0.00047272,0.000587842,0.000696819,0.000612096
583,0.00035677,0.000386526,0.00034841,0.000373229
986,0.000517317,0.000700579,0.000632299,0.000761387
1109,0.000401366,0.000491211,0.000387122,0.000373229
976,0.00047272,0.000330158,0.000464546,0.000492662
979,0.000321093,0.000418737,0.000387122,0.000403087
EDC1708,0.000374609,0.000483158,0.000296793,0.000283654
EDC21,0.000392447,0.000450947,0.00047745,0.000388158
1095,0.000695702,0.000829421,0.000516162,0.000865891
810,0.000695702,0.000571737,0.000503258,0.000373229
844,0.000588671,0.000475105,0.000374218,0.000507591
EDC1705,0.000338932,0.000249632,0.000322601,0.000298583
1101,0.000570832,0.000459,0.000425834,0.000612096
832,0.000552994,0.000555632,0.000580683,0.000701671
1288,0.000499478,0.000418737,0.000464546,0.000477733
EDC1700,0.000633267,0.000499263,0.00041293,0.000627025
840,0.000347851,0.000426789,0.000490354,0.000373229
1200,0.000642186,0.000539526,0.000619395,0.000418017
EDC1695,0.000428124,0.000354316,0.000335506,0.000313512
843,0.000428124,0.000571737,0.000619395,0.000582237
980,0.000392447,0.000571737,0.000696819,0.000462804
439,0.000490559,0.000410684,0.000258081,0.000462804
981,0.000526236,0.000459,0.000451642,0.000388158
548,0.00024082,0.000362368,0.000258081,0.000388158
1204,0.000374609,0.000370421,0.000335506,0.000328442
EDC23,0.000401366,0.000402632,0.000335506,0.000507591
156,0.00048164,0.000273789,0.000103232,0.000119433
1241,0.000330012,0.000418737,0.000335506,0.000343371
429,0.000508397,0.000523421,0.000567779,0.0003583
1238,0.000401366,0.000426789,0.000387122,0.000522521
1234,0.000312174,0.000144947,0.000322601,0.000328442
1237,0.000365689,0.000386526,0.000361314,0.0003583
845,0.000312174,0.000483158,0.000464546,0.000492662
1019,0.000428124,0.000281842,0.000335506,0.000268725
EDC33,0.000151627,0.000346263,0.000322601,0.0003583
946,0.000561913,0.000499263,0.000580683,0.000552379
EDC1686,0.000437043,0.000459,0.00054197,0.000776316
1244,0.000214062,0.000225474,0.000335506,0.000253796
EDC46,0.000303255,0.000346263,0.000400026,0.000447875
EDC14,0.000437043,0.000459,0.000322601,0.000462804
1094,0.000383528,0.000434842,0.000374218,0.000343371
1240,0.00024082,0.000314053,0.000154849,0.000268725
1207,0.000517317,0.000450947,0.000438738,0.000671812
1030,0.000365689,0.000354316,0.00054197,0.000492662
1263,0.00048164,0.000539526,0.000425834,0.000343371
584,0.000499478,0.000346263,0.000361314,0.000418017
1193,0.000303255,0.000338211,0.00034841,0.000253796
EDC6,0.00072246,0.000475105,0.000425834,0.000582237
792,0.000294335,0.000297947,0.000400026,0.000432946
1242,0.000276497,0.000547579,0.000464546,0.000313512
1107,0.000463801,0.000338211,0.000490354,0.000223937
1235,0.000160547,0.000144947,0.000180657,0.000253796
EDC1693,0.000338932,0.000370421,0.000516162,0.000418017
543,0.000258658,0.000241579,0.000193561,0.00017915
1231,0.000579752,0.000402632,0.000580683,0.000388158
984,0.000222981,0.000257684,0.000206465,0.000268725
1072,0.000187304,0.000273789,0.000193561,0.000194079
94,0.000205143,0.000201316,0.000154849,0.000164221
#N/A,0.000276497,0.000241579,0.000438738,0.000283654
EDC36,0.000517317,0.000475105,0.000425834,0.000447875
561,0.00035677,0.000547579,0.000490354,0.000477733
560,0.000552994,0.000571737,0.000438738,0.000597166
1048,0.000428124,0.000587842,0.000400026,0.000522521
951,0.000330012,0.000314053,0.000258081,0.00017915
1103,0.000365689,0.000547579,0.000425834,0.000447875
#N/A,0.000428124,0.000475105,0.000464546,0.000522521
EDC17,0.000401366,0.000297947,0.000387122,0.000403087
978,0.000285416,0.000241579,0.000154849,0.000328442
EDC1707,0.000338932,0.000241579,0.000283889,0.000313512
EDC44,0.000169466,0.000289895,0.000245177,0.000223937
EDC53,0.000428124,0.000410684,0.000490354,0.000492662
577,0.000231901,0.000426789,0.000361314,0.000462804
